#Atom_RMSD:ini opt reo ret zincid
0.0531123 0.0531123 0.0531123 0.0531123 2300JX
0.466072 0.3646 0.3646 0.368038 2300JY
0.294685 0.367458 0.367458 0.382022 2300JZ
0.46612 0.456503 0.456503 0.457009 2300K0
1.00515 0.470409 0.470409 0.471685 2300K2
0.579956 0.544141 0.544141 0.544183 2300K3
0.406804 0.460023 0.460023 0.46235 2300K4
0.122262 0.122229 0.122229 0.122229 2300K7
0.382605 0.487278 0.796593 0.803011 2300K8
0.273976 0.680423 0.680423 0.681759 2300K9
0.045535 0.0471688 0.0471688 0.0454326 2300KA
0.533081 0.428037 0.428037 0.426934 2300KC
0.163194 0.402735 0.402735 0.399851 2300KD
0.533847 0.515342 0.515342 0.514938 2300KF
0.779709 0.224257 0.224257 0.221051 2300KH
0.278166 0.249563 0.249563 0.258972 2300KJ
0.178148 0.32419 0.32419 0.297067 2300KK
0.0805922 0.0883747 0.0883747 0.0891658 2300KL
0.215132 0.349912 0.349912 0.349755 2300KM
0.476733 0.819898 0.819898 0.323666 2300KO
0.0841711 0.0834656 0.0834656 0.0834021 2300KP
0.483722 0.377108 0.377108 0.37576 2300KR
0.344554 0.407105 0.407105 0.402677 2300KS
0.226272 0.177081 0.177081 0.243177 2300KT
0.241328 0.201211 0.201211 0.178163 2300KU
0.442663 0.427431 0.427431 0.426139 2300KV
0.148841 0.15745 0.15745 0.157656 2300KX
0.100522 0.259104 0.164967 0.141956 2300KY
0.391949 0.390561 0.390561 0.390396 2300L0
0.236671 0.331769 0.331769 0.339651 2300L1
0.209886 0.385434 0.385434 0.385508 2300L2
0.179264 0.228839 0.228839 0.228342 2300L3
0.117266 0.135977 0.135977 0.134871 2300L5
